"UNSPSC_v5_0301";"Translation_German_5_0301";"English_Titles_ 5_0301"
"10141604";"Zügel";"Reins"
"10141605";"Steigbügel";"Stirrups"
"10141606";"Leinen oder Stricke";"Leashes or leads"
"10141607";"Halsbände";"Collars"
"10141608";"Beschirrungen";"Harnesses"
"10141609";"Zügel";"Restraints"
"10150000";"Samen und Knollen und Sämling und Setzling";"Seeds and bulbs and seedlings and cuttings"
"10151500";"Gemüsesamen und Sämling";"Vegetable seeds and seedlings"
"10151501";"Bohnesaman und Sämling";"Bean seeds or seedlings"
"10151502";"Karrotesaman und Sämling";"Carrot seeds or seedlings"
"10151503";"Selleriesamen und Sämling";"Celery seeds or seedlings"
"10151504";"Spanischer Pfeffersamen und Sämling";"Chili seeds or seedlings"
"10151505";"Zucchinisamen und Sämling";"Courgette seeds or seedlings"
"10151506";"Kuhbohnensamen oder Sämling";"Cow pea seeds or seedlings"
"10151507";"Gurkensaman und Sämling";"Cucumber seeds or seedlings"
"10151508";"Auberginesamen und Sämling";"Eggplant seeds or seedlings"
"10151509";"Endiviesamen und Sämling";"Endive seeds or seedlings"
"10151510";"Knoblauchsamen und Sämling";"Garlic seeds or seedlings"
"10151511";"Lauchsamen und Sämling";"Leek seeds or seedlings"
"10151512";"Kopfsalatsamen und Sämling";"Lettuce seeds or seedlings"
"10151513";"Kornsamen und Sämling";"Corn seeds or seedlings"
"10151514";"Melonesamen und Sämling";"Melon seeds or seedlings"
"10151515";"Zwiebelsamen und Sämling";"Onion seeds or seedlings"
"10151516";"Sojasamen und Sämling";"Soya seeds or seedlings"
"10151517";"Spinatsamen und Sämling";"Spinach seeds or seedlings"
"10151518";"Tomatensamen und Sämling";"Tomato seeds or seedlings"
"10151519";"Steckrübesamen und Sämling";"Turnip seeds or seedlings"
"10151520";"Mangoldsamen und Sämling";"Chard seeds or seedlings"
"10151521";"Süsse Pfeffersamen und Sämling";"Sweet pepper seeds or seedlings"
"10151600";"Getreidesamen";"Cereal seeds"
"10151601";"Weizsamen";"Wheat seeds"
"10151602";"Rapssamen";"Colza seeds"
"10151603";"Gerstensamen";"Barley seeds"
"10151604";"Hirsensamen";"Millet seeds"
"10151605";"Hafersamen";"Oat seeds"
"10151606";"Sesamsamen";"Sesame seeds"
"10151607";"Leinsamensamen";"Linseed seeds"
"10151608";"Rizinusölsamen";"Castor oil seeds"
"10151609";"Maissamen";"Maize seeds"
"10151610";"Roggensamen";"Rye seeds"
"10151611";"Sorghumsamen";"Sorghum seeds"
"10151700";"Gras und Futtersamen und Sämling";"Grass and forage seeds and seedlings"
"10151701";"Reissamen und Sämling";"Rice seeds or seedlings"
"10151702";"Kleesamen und Sämling";"Clover seeds or seedling"
"10151703";"Blaue Luzernesamen und Sämling";"Alfalfa seeds or seedlings"
"10151704";"Grassaman und Sämling";"Grass seeds or seedlings"
"10151800";"Gewürze Getriedesamen und Sämling";"Spice crop seeds and seedlings"
"10151801";"Pfeffersamen und Sämling";"Pepper seeds or seedlings"
"10151802";"Vanillesamen und Sämling";"Vanilla seeds or seedlings"
"10151803";"Zimtsamen und Sämling";"Cinnamon seeds or seedlings"
"10151804";"Nelkesamen und Sämling";"Clove seeds or seedlings"
"10151805";"Koriandersamen und Sämling";"Coriander seeds or seedlings"
"10151806";"Ingwersamen und Sämling";"Ginger seeds or seedlings"
"10151807";"Safransaman und Sämling";"Saffron seeds or seedlings"
"10151808";"Thymiansamen und Sämling";"Thyme seeds or seedlings"
"10151809";"Currygewürzsamen und Sämling";"Curry seeds or seedlings"
"10151810";"Senfsamen und Sämling";"Mustard seeds or seedlings"
"10151900";"Blumensamen und Knollen und Sämling und Sätzlinge";"Flower seeds and bulbs and seedlings and cuttings"
"10151901";"Tulpen Sämen oder Knollen oder Sämling oder Sätzlinge";"Tulip seeds or bulbs or seedlings or cuttings"
"10151902";"Rosen Sämen oder Sämling oder Sätzlinge";"Rose seeds or seedlings or cuttings"
"10151903";"Narzisse Sämen oder Knollen oder Sämling oder Sätzlinge";"Daffodil seeds or bulbs or seedlings or cuttings"
"10151904";"Sonnenblumen";"Sunflower seeds"
"10152000";"Baum und Strauchsamen und Sätzling";"Tree and shrub seeds and cuttings"
"10152001";"Obstbaumsamen und Sätzling";"Fruit tree seeds or cuttings"
"10152002";"Nadelbaumsamen und Sätzling";"Conifer tree seeds or cuttings"
"10152003";"Nußbaumsamen und Sätzling";"Nut tree seeds or cuttings"
"10152100";"Rest ausschliesslich Tierfutter";"Residues other than animal feed"
"10152101";"Rest der Baboolsamenausziehung";"Residues babool seed extraction"
"10152102";"Rest der Rapssaat";"Residues of rape seeds"
"10152103";"Rest der Leinsamen ";"Residue of linseed"
"10152104";"Oelkuchen der Neem";"Oil cake of neem"
"10160000";"Blumenzucht und Waldbauprodukte";"Floriculture and silviculture products"
"10161500";"Bäume und Sträuche";"Trees and shrubs"
"10161501";"Olive Bäume";"Olive trees"
"10161502";"Kaffee Sträuche";"Coffee shrubs"
"10161503";"Kakao Bäume";"Cocoa trees"
"10161504";"Apfel Bäume";"Apple trees"
"10161505";"Pfirsich Bäume";"Peach trees"
"10161506";"Orangen Bäume";"Orange trees"
"10161507";"Teebusch";"Rhodendron shrubs"
"10161508";"Tee Sträuche";"Tea shrubs"
"10161509";"Nadelbäume";"Conifer trees"
"10161510";"Fichten";"Spruce trees"
"10161511";"Kieferbäume";"Pine trees"
"10161512";"Tannenbäume";"Fir trees"
"10161600";"Blumenpflanzen";"Floral plants"
"10161601";"Roesnpflanzen";"Rose plants"
"10161602";"Weihnachtsstern Pflanzen";"Poinsettias plants"
"10161603";"Orchidee Pflanzen";"Orchids plants"
"10161604";"Azalee Pflanzen";"Azaleas plants"
"10161605";"Kaktus Pflanzen";"Cactus plants"
"10161700";"Geschneidete Blumen";"Cut flowers"
"10161701";"Geschneidete Gladiolen";"Cut gladiolus"
"10161702";"Geschneidete Lilien";"Cut lilies"
"10161703";"Geschneidete Nelken";"Cut carnations"
"10161704";"Geschneidete Tulpen";"Cut tulips"
"10161705";"Geschneidete Roesn";"Cut roses"
"10161800";"Die nicht- Blütenpflanzen";"Non flowering plants"
"10161801";"Farn";"Ferns"
"10161802";"Efeu";"Ivies"
"10161803";"Philodendron";"Philodendrons"
"10161900";"Getrocknete Blumenprodukte";"Dried floral products"
"10161901";"Getrocknete Hülsen";"Dried pods"
"10161902";"Getrocknete belaubte Grüne";"Dried leafy greenery"
"10161903";"Getrocknete Farngrüne";"Dried fern greenery"
"10161904";"Getrocknete volle Bumen";"Dried full flowers"
"10161905";"Getrocknete Zweige oder stöcke";"Dried twigs or sticks"
"10161906";"Getrocknete Grasfedern";"Dried grass plumes"
"10161907";"Getrocknete gepresste Blumen";"Dried pressed flowers"
"10161908";"Getrocknete Blumenblätter";"Dried flower petals"
"10170000";"Düngemittel und Pflanzennährstoffe und Unkrautvertilgungsmittel";"Fertilizers and plant nutrients and herbicides"
"10171500";"Organische Düngemitteln und Pflanzennährstoffe";"Organic fertilizers and plant nutrients"
"10171501";"Dünger oder Guano";"Manure or guano"
"10171502";"Pflanzenharmone";"Plant hormones"
"10171503";"Fischessen";"Fish meal"
"10171600";"Chemische Düngemitteln und Pflanzennährstoffe";"Chemical fertilizers and plant nutrients"
"10171601";"Stickstoffhaltige Düngemittel";"Nitrogenous fertilizer"
"10171602";"Kalium Düngemittel";"Potassic fertilizer"
"10171603";"Phosphathaltige Düngemittel";"Phosphatic fertilizer"
"10171604";"Scwefel Düngemittel";"Sulphuric fertilizer"
"10171605";"Stickstoff Phosphorige Kalium Mischyngen";"Nitrogen Phosphorous Potassium Mixtures (NPK)"
"10171700";"Unkrautvertilgungsmittel";"Herbicides"
"10171701";"Unkrautbekämpfungsmittel";"Weed killer"
"10190000";"Kammerjäger Produkte";"Pest control products"
"10191500";"Insektizide und Insekt Beherrschungsfang";"Insecticides and insect control traps"
"10191501";"Sprüh Insektizide";"Spray insecticides"
"10191502";"Lockmittel Insektizide";"Bait insecticides"
"10191503";"Kieselsäure";"Silicic acid"
"10191504";"Beherrschungsfänge der fliegende Insekten";"Flying insect control traps"
"10191600";"Rodentizide";"Rodenticides"
"10191601";"Herausgepresste köder";"Extruded baits"
"10191602";"Essen oder Schrotköner oder Samenköder";"Meal or pellet or seed baits"
"10191603";"Flüssige Samenköder";"Liquid baits"
"10191604";"Aufspurenspuder";"Tracking powders"
"10191700";"Tier Kontrolleur Fange";"Animal control traps"
"10191701";"Maus oder Rattefange";"Mouse or rat traps"
"11000000";"Mineral und Textil und ungeniessbare Pflanzen und Tiermateriellen";"Mineral and Textile and Inedible Plant and Animal Materials"
"11100000";"Minerale und Erze und Metalle";"Minerals and ores and metals"
"11101500";"Minerale";"Minerals"
"11101501";"Glimmer";"Mica"
"11101502";"Schmirgel";"Emery"
"11101503";"Quartz";"Quartz"
"11101504";"Pyrit";"Pyrite"
"11101505";"Schwefel";"Sulphur"
"11101506";"Kreide";"Chalk"
"11101507";"Grafit";"Graphite"
"11101508";"Dolomit";"Dolomite"
"11101509";"Magnesit";"Magnesite"
"11101510";"Asbest";"Asbestos"
"11101511";"Kalzium";"Calcium"
"11101512";"Borat";"Borate"
"11101513";"Kryolith";"Cryolite"
"11101514";"Feldspat";"Feldspar"
"11101515";"Leucit";"Leucite"
"11101516";"Nephelit";"Nephelite"
"11101517";"Speckstein";"Steatite"
"11101518";"Talk";"Talc"
"11101519";"Diamanten";"Diamonds"
"11101520";"Garanat";"Garnets"
"11101521";"Siliciumkarbid";"Silicon carbide"
"11101522";"Aktivkohle";"Activated carbon"
"11101523";"Mulit";"Mulite"
"11101600";"Erze";"Ores"
"11101601";"Eisenerz";"Iron ore"
"11101602";"Titanerz";"Titanium ore"
"11101603";"Uranerz";"Uranium ore"
"11101604";"Kupfererz";"Copper ore"
"11101605";"Aluminiumerz";"Aluminum ore"
"11101606";"Nickelerz";"Nickel ore"
"11101607";"Silbererz";"Silver ore"
"11101608";"Bleierz";"Lead ore"
"11101609";"Zinkerz";"Zinc ore"
"11101610";"Zinnerz";"Tin ore"
"11101611";"Manganerz";"Manganese ore"
"11101612";"Chromerz";"Chromium ore"
"11101613";"Wolfram oder Wolframerz";"Tungsten or wolfram ore"
"11101614";"Molybdänerz";"Molybdenum ore"
"11101615";"Kobalterz";"Cobalt ore"
"11101616";"Golderz";"Gold ore"
"11101617";"Tantalerz";"Tantalum ore"
"11101618";"Platinerz";"Platinum ore"
"11101619";"Wurmartigeerz";"Vermiculite ore"
"11101620";"Thoriumerz";"Thorium ore"
"11101621";"Kyaniterz";"Kyanite ore"
"11101700";"Unedle Metalle";"Base metals"
"11101701";"Asche oder Esche";"Slag or ash"
"11101702";"Natürlischgraphit";"Natural graphite"
"11101703";"Titan";"Titanium"
"11101704";"Stahl";"Steel"
"11101705";"Aluminium";"Aluminum"
"11101706";"Nickel";"Nickel"
"11101707";"Magnesium";"Magnesium"
"11101708";"Wismut";"Bismuth"
"11101709";"Antimon";"Antimony"
"11101710";"Kadmium";"Cadmium"
"11101711";"Nicht eisenhaltige Legierung";"Non ferrous alloy"
"11101712";"Ferro Legierung";"Ferrous alloy"
"11101713";"Eisen";"Iron"
"11101714";"Blei";"Lead"
"11101715";"Kupfer";"Copper"
"11101800";"Edelmetallen";"Precious metals"
"11101801";"Gold";"Gold"
"11101802";"Silber";"Silver"
"11101803";"Platin";"Platinum"
"11110000";"Erde und Stein";"Earth and stone"
"11111500";"Dreck und Bodenschaffenheit";"Dirt and soil"
"11111501";"Bodenschaffenheit";"Soil"
"11111502";"Schüttungsscmutz";"Fill dirt"
"11111503";"Mutterboden";"Topsoil"
"11111600";"Stein";"Stone"
"11111601";"Gips";"Gypsum"
"11111602";"Kalksinter";"Travertine"
"11111603";"Ecaussin oder Alabaster";"Ecaussine or alabaster"
"11111604";"Granit";"Granite"
"11111605";"Marmor";"Marble"
"11111606";"Schiefer";"Slate"
"11111607";"Sandstein";"Sandstone"
"11111608";"Kalkstein";"Limestone"
"11111609";"Basalt";"Basalt"
"11111610";"Bimsstein";"Pumice stone"
"11111700";"Sand";"Sand"
"11111701";"Kieselerde";"Silica sand"
"11111800";"Tone";"Clays"
"11111801";"Terrakotta";"Terra cotta"
"11111802";"Schamotte";"Fireclay"
"11111803";"Kaolin oder andere Kaolintonerden";"Kaolin or other kaolinic clays"
"11111804";"Bentonit";"Bentonite"
"11111805";"Andaleucit";"Andalusite"
"11111806";"Mullit";"Mullite"
"11111807";"Schamotte";"Chamotte"
"11111808";"Allgemeine Ton";"Common clay"
"11111809";"Kugelton";"Ball clay"
"11111810";"Bleicherde";"Fullers earth"
"11120000";"Ungeniessbare Pflanz- und Forstkulturprodukte";"Non edible plant and forestry products"
"11121500";"Säfte";"Sap"
"11121502";"Harz";"Rosin"
"11121503";"Gummilack";"Lac"
"11121600";"Holz";"Wood"
"11121603";"Klötze";"Logs"
"11121604";"Sanft Bauherz";"Soft timber"
"11121605";"Rattan";"Rattan"
"11121606";"Kork";"Cork"
"11121607";"Holzschlieff";"Wood pulp"
"11121608";"Bambus";"Bamboo"
"11121700";"Forstnebenprodukte";"Forestry by products"
"11121701";"Sägemehl";"Saw dust"
"11121702";"Holzstück";"Wood chips"
"11121703";"Torfmoor";"Peat moss"
"11121705";"Borke";"Bark"
"11121706";"Mistbedeckung";"Mulch"
"11121707";"Holzwolle";"Wood wool"
"11121708";"Holzmehl";"Wood flour"
"11121709";"Balsam";"Balsams"
"11121800";"Pflanzenfasern";"Plant fibers"
"11121801";"Hanf";"Hemp"
"11121802";"Baumwolle";"Cotton"
"11121803";"Flachs";"Flax"
"11121804";"Jute";"Jute"
"11121805";"Sisalhanf";"Sisal"
"11121806";"Kokosfasern oder Kokosbast";"Coconut fibres or coir"
"11121807";"Abakafasern";"Abaca fibers"
"11121808";"Die Gattung der Neselgewächse";"Ramie"
"11121809";"Stroh";"Straw"
"11130000";"Ungenießbare Tierprodukte";"Non edible animal products"
"11131500";"Tierhäute und Hautschichten und Tiermaterielle";"Animal hides and skins and animal textile materials"
"11131501";"Federn";"Feathers"
"11131502";"Pelze";"Furs"
"11131503";"Tierhaar";"Animal hair"
"11131504";"Häute";"Hides"
"11131505";"Unbearbeitete Mohär";"Unprocessed mohair"
"11131506";"Unbearbeitete Wolle";"Unprocessed wool"
"11131507";"Wildleder";"Suede"
"11131600";"Sonstige Tierprodukte";"Other animal products"
"11131601";"Elfenbein";"Ivory"
"11131602";"Sperma";"Semen"
"11131603";"Absonderung";"Excretions"
"11131604";"Fisch Eier";"Fish eggs"
"11131605";"Gräten";"Bones"
"11131606";"Hörner";"Horns"
"11131607";"Embroys";"Embryos"
"11140000";"Rest und Abfallmaterial";"Scrap and waste materials"
"11141500";"Metalabfälle und Rest";"Metal waste and scrap"
"11141501";"Ferro Metallabfall oder Rest";"Ferrous metal waste or scrap"
"11141502";"Nicht eisenhaltige Metallabfall oder Rest";"Non ferrous metal waste or scrap"
"11141503";"Automotiv Verwüstung als Abfall oder Rest";"Automotive wrecking for waste or scrap"
"11141600";"Nicht Metalleabfälle und Rest";"Non metallic waste and scrap"
"11141601";"Textilabfalle und Rest";"Textile waste or scrap"
"11141602";"Plastischeabfalle und Rest";"Plastic waste or scrap"
"11141603";"Oelabfalle";"Oil wastes"
"11141604";"Papierabfälle";"Paper wastes"
"11141605";"Glasabfall und Rest";"Glass waste or scrap"
"11141606";"Holzabfall und Rest";"Wood waste or scrap"
"11141607";"Gummiabfall und Rest";"Rubber waste or scrap"
"11141608";"Gefährlischer Abfall und Rest";"Hazardous waste or scrap"
"11141700";"Essen und Tabakabfall und Rest";"Food and tobacco waste and scrap"
"11141701";"Essenabfalle und Rest";"Food waste or scrap"
"11141702";"Tabakabfall und Rest";"Tobacco waste or scrap"
"11150000";"Fasern und Faden und Garne";"Fibers and threads and yarns"
"11151500";"Fasern";"Fibers"
"11151501";"Azetatfasern";"Acetate fibers"
"11151502";"Nylonfasern";"Nylon fibers"
"11151503";"Polyesterfasern";"Polyester fibers"
"11151504";"Akrylfasern";"Acrylic fibers"
"11151505";"Viskosefasern";"Viscose fibers"
"11151506";"Kunstseidenfasern";"Rayon fibers"
"11151507";"Baumwollefasern";"Cotton fibers"
"11151508";"Wollefasern";"Wool fibers"
"11151509";"Seidefasern";"Silk fibers"
"11151510";"Gemüsefasern";"Vegetable fibers"
"11151511";"Polypropylenfasern";"Polypropylene fibers"
"11151512";"Glasfasern";"Glass fibers"
"11151513";"Keramikfasern";"Ceramic fibers"
"11151514";"Polymer Aramidfasern";"Polymer aramid fibers"
"11151600";"Faden";"Threads"
"11151601";"Baumwollefaden";"Cotton thread"
"11151602";"Seidenfaden";"Silk thread"
"11151603";"Polyesterfaden";"Polyester thread"
"11151604";"Polymidfaden";"Polyamide thread"
"11151605";"Bisamalemidfaden";"Bismalemide thread"
"11151606";"Fiberglasfaden";"Fiberglass thread"
"11151607";"Graphitfaden";"Graphite thread"
"11151608";"Nylonfaden";"Nylon thread"
"11151609";"Harz imprägnierende Faden";"Resin impregnated thread"
"11151610";"Gummi oder Latexfaden";"Rubber or latex thread"
"11151611";"Spandexfaden";"Spandex thread"
"11151700";"Garne";"Yarns"
"11151701";"Wollegarn";"Wool yarn"
"11151702";"Baumwollegarn";"Cotton yarn"
"11151703";"Polyestergarn";"Polyester yarn"
"11151704";"Akryilgarn";"Acrylic yarn"
"11151705";"Seidengarn";"Silk yarn"
"11151706";"Nesselgewächsegarn";"Ramie yarn"
"11160000";"Gewebe und Ledermateriallen";"Fabrics and leather materials"
"11161500";"Seidegewebe";"Silk fabrics"
"11161501";"Einfach wirkende Seidegewebe";"Plain weave silk fabrics"
"11161502";"Jacquard wirkende Seidegewebe";"Jacquard weave silk fabrics"
"11161503";"Strickseidengewebe";"Knit silk fabrics"
"11161504";"Seidesamtegewebe";"Silk velvets fabrics"
"11161600";"Wollegewebe";"Wool fabrics"
"11161601";"Einfachwirkendewollegewebe";"Plain weave wool fabrics"
"11161602";"Jacquard wirkende Wollegewebe";"Jacquard weave wool fabrics"
"11161603";"Strickwollegewebe";"Knit wool fabrics"
"11161700";"Baumwollegewebe";"Cotton fabrics"
"11161701";"Einfach wirkende Baumwollegewebe";"Plain weave cotton fabrics"
"11161702";"Zwilliche wirkende Baumwollegewebe";"Twill weave cotton fabrics"
"11161703";"Baumwolle Oxford Leinwand";"Cotton oxford cloths"
"11161704";"Strickbaumwollegewebe";"Knit cotton fabrics"
"11161705";"Baumwollesamtgewebe";"Cotton velvet fabrics"
"11161800";"Synthetischegewebe";"Synthetic fabrics"
"11161801";"Synthetische Gewebe";"Plain weave synthetic fabrics"
"11161802";"Jacquard wirkende synthetische Gewebe";"Jacquard weave synthetic fabrics"
"11161803";"Dobbywirkende synthetische Gewebe";"Dobby weave synthetic fabrics"
"11161804";"Strick synthetische Gewebe";"Knit synthetic fabrics"
"11161805";"Synthetische Samtgewebe";"Synthetic velvet fabrics"
"11162000";"Gewebe der Gemüsemateriellen";"Fabrics of vegetable material other than cotton"
"11162001";"Einfachwirkende";"Plain weave non cotton vegetable fiber fabrics"
"11162002";"Strick ausserbaumwolle Gemüsen Fasergewebe";"Knit non cotton vegetable fiber fabrics"
"11162003";"Hessische oder Hanffaser oder Jute stoff";"Hessian or hemp or jute cloth"
"11162100";"Spezialitätsgewebe oder Stoff";"Specialty fabrics or cloth"
"11162101";"Nesseltuchgewebe oder Stoff";"Cheese cloth or fabric"
"11162102";"Bismalemidgewebe oder Stoff";"Bismalemide fabric or cloth"
"11162103";"Faserglas Gewebe oder Stoff";"Fiberglass fabric or cloth"
"11162104";"Graphitgewebe oder Stoff";"Graphite fabric or cloth"
"11162105";"Glassgewebe oder Stoff";"Glass fabric or cloth"
"11162107";"Harz imprägnierende Gewebe oder Stoff";"Resin impregnated fabric or cloth"
"11162108";"Stoffe oder Tuch aus Drahtgeflecht";"Wire mesh fabric or cloth"
"11162109";"Schnur";"Lace"
"11162110";"Netzstricken";"Netting"
"11162111";"Maschenwerk";"Mesh"
"11162112";"Bedeckte Gewebe";"Coated fabrics"
"11162113";"Polsterung Gewebe";"Upholstery fabrics"
"11162114";"Nadel und Oesengewebe und Bände";"Hook and loop fabrics or tapes"
"11162115";"Elastische Borten";"Elastic braid"
"11162116";"Juteleinen Gewebe";"Burlap cloth"
"11162117";"Gummi Stoff";"Rubber fabrics"
"11162200";"Vliesstoff";"Nonwoven fabrics"
"11162201";"Spinnvlies";"Spunbonded nonwovens"
"11162202";"Wasserstrahlverfestigte Vliesstoffe";"Spunlaced nonwovens"
"11162300";"Leder";"Leathers"
"11162301";"Waschleder";"Chamois leather"
"11162302";"Ziegenleder";"Goat leather"
"11162303";"Schafleder";"Sheep leather"
"11162304";"Patentleder";"Patent leather"
"11162305";"Kuhleder";"Cow leather"
"11162306";"Schweinleder";"Pig leather"
"11162307";"Synthetische oder Imitationsleder";"Synthetic or imitation leather"
"12000000";"Chemikalien einschliesslich Bio Chemikalien und Gas Materiellen";"Chemicals including Bio Chemicals and Gas Materials"
"12130000";"Explosive Stoffe";"Explosive materials"
"12131500";"Sprengstoffe";"Explosives"
"12131501";"Dynamit";"Dynamite"
"12131502";"Explosionspatronen";"Explosive cartridges"
"12131503";"Antriebssprengstoffe";"Propellant explosives"
"12131504";"Explosionsladung";"Explosive charges"
"12131505";"Plastische Sprengstoffe";"Plastic explosives"
"12131506";"Aluminium Sprengstoffe";"Aluminized explosives"
"12131507";"Ammonium Nitrat Spregstoffe";"Ammonium nitrate explosives"
"12131508";"Nitroglyzerinsprengstoffe in Pulverform";"Nitroglycerin powder explosives"
"12131600";"Pyrotechnik";"Pyrotechnics"
"12131601";"Feuerwerk";"Fireworks"
"12131602";"Nebelsignale";"Fog signals"
"12131603";"Regenraketen ";"Rain rockets"
"12131604";"Flackern";"Flares"
"12131605";"Feuerwerk Materiellen für Theater oder Fernseher";"Pyrotechnic materials for theater or television"
"12131700";"Anzündungsmitteln";"Igniters"
"12131701";"Sprengkappe ";"Blasting caps"
"12131702";"Sprengkapsel";"Detonators"
"12131703";"Explosions Zünder";"Explosives fuses"
"12131704";"Explosions Anreger";"Explosive initiators"
"12131705";"Explosions Zündpillen";"Explosive primers"
"12131706";"Zündholz";"Matches"
"12131707";"Anzünder";"Lighters"
"12131800";"Treibmitteln";"Propellants"
"12131801";"Pulver Treibmitteln";"Powder propellants"
"12131802";"Feste Treibmittel";"Solid propellants"
"12131803";"Feuerwaffe Treibmitteln";"Gun propellants"
"12131804";"Hoch energische Treibmitteln";"High energy propellants"
