$comp=wc2002

UPDATE Player;uid[unique=true];competitions(code)[mode=append]
;ppetersonson_cuppy;$comp
;demo_cuppy;$comp
;hweaving_cuppy;$comp
;sbrueck_cuppy;$comp
;hpneumann_cuppy;$comp
;ahertz_cuppy;$comp
;abrode_cuppy;$comp
;hschweiger_cuppy;$comp
;dkaufmann_cuppy;$comp
;kvitali_cuppy;$comp
;bpoweronoff_cuppy;$comp
;tbullet_cuppy;$comp
;hjaehnig_cuppy;$comp
;mdigit_cuppy;$comp
;ovh_cuppy;$comp
;nvp_cuppy;$comp
;ariel_cuppy;$comp
;sternthaler;$comp
;pp;$comp

INSERT_UPDATE MatchBet;player(uid)[unique=true];match(id,group(code,competition(code[default=$comp])))[unique=true];guestGoals;homeGoals
;tbullet_cuppy;53:LAST16;0;3;
;tbullet_cuppy;54:LAST16;0;0;
;tbullet_cuppy;55:LAST16;1;1;
;tbullet_cuppy;56:LAST16;3;1;
;tbullet_cuppy;57:QUARTER;2;5;
;tbullet_cuppy;58:QUARTER;1;1;
;tbullet_cuppy;59:QUARTER;3;1;
;tbullet_cuppy;60:QUARTER;0;3;
;tbullet_cuppy;61:SEMI;3;5;
;tbullet_cuppy;62:SEMI;4;0;
;tbullet_cuppy;63:THIRD;5;4;
;tbullet_cuppy;64:FINAL;5;2;
;hjaehnig_cuppy;49:LAST16;1;2;
;hjaehnig_cuppy;51:LAST16;2;3;
;hjaehnig_cuppy;52:LAST16;3;0;
;hjaehnig_cuppy;53:LAST16;5;3;
;hjaehnig_cuppy;54:LAST16;5;3;
;hjaehnig_cuppy;55:LAST16;3;0;
;hjaehnig_cuppy;56:LAST16;1;5;
;hjaehnig_cuppy;57:QUARTER;5;2;
;hjaehnig_cuppy;58:QUARTER;0;4;
;hjaehnig_cuppy;59:QUARTER;4;0;
;hjaehnig_cuppy;60:QUARTER;2;4;
;hjaehnig_cuppy;61:SEMI;3;1;
;hjaehnig_cuppy;62:SEMI;3;5;
;hjaehnig_cuppy;63:THIRD;1;5;
;hjaehnig_cuppy;64:FINAL;0;2;
;mdigit_cuppy;49:LAST16;0;2;
;mdigit_cuppy;50:LAST16;2;1;
;mdigit_cuppy;51:LAST16;2;1;
;mdigit_cuppy;52:LAST16;5;5;
;mdigit_cuppy;54:LAST16;3;5;
;mdigit_cuppy;55:LAST16;5;1;
;mdigit_cuppy;56:LAST16;2;0;
;mdigit_cuppy;57:QUARTER;3;5;
;mdigit_cuppy;58:QUARTER;3;0;
;mdigit_cuppy;59:QUARTER;0;2;
;mdigit_cuppy;60:QUARTER;0;2;
;mdigit_cuppy;61:SEMI;1;5;
;mdigit_cuppy;62:SEMI;1;1;
;mdigit_cuppy;63:THIRD;3;2;
;mdigit_cuppy;64:FINAL;5;4;
;ovh_cuppy;49:LAST16;4;0;
;ovh_cuppy;50:LAST16;2;2;
;ovh_cuppy;51:LAST16;0;1;
;ovh_cuppy;52:LAST16;5;2;
;ovh_cuppy;53:LAST16;0;1;
;ovh_cuppy;54:LAST16;0;0;
;ovh_cuppy;55:LAST16;3;0;
;ovh_cuppy;56:LAST16;0;3;
;ovh_cuppy;57:QUARTER;1;1;
;ovh_cuppy;58:QUARTER;3;2;
;ovh_cuppy;59:QUARTER;2;3;
;ovh_cuppy;60:QUARTER;0;5;
;ovh_cuppy;61:SEMI;0;4;
;ovh_cuppy;62:SEMI;5;4;
;ovh_cuppy;64:FINAL;0;1;
;nvp_cuppy;49:LAST16;4;4;
;nvp_cuppy;50:LAST16;0;0;
;nvp_cuppy;51:LAST16;0;2;
;nvp_cuppy;52:LAST16;1;4;
;nvp_cuppy;53:LAST16;4;0;
;nvp_cuppy;54:LAST16;5;0;
;nvp_cuppy;55:LAST16;2;3;
;nvp_cuppy;56:LAST16;2;2;
;nvp_cuppy;57:QUARTER;4;4;
;nvp_cuppy;58:QUARTER;5;1;
;nvp_cuppy;59:QUARTER;0;4;
;nvp_cuppy;60:QUARTER;0;4;
;nvp_cuppy;61:SEMI;1;5;
;nvp_cuppy;62:SEMI;0;3;
;nvp_cuppy;63:THIRD;2;5;
;nvp_cuppy;64:FINAL;1;0;
;ariel_cuppy;49:LAST16;2;4;
;ariel_cuppy;50:LAST16;1;3;
;ariel_cuppy;51:LAST16;1;4;
;ariel_cuppy;52:LAST16;4;0;
;ariel_cuppy;53:LAST16;2;1;
;ariel_cuppy;54:LAST16;3;0;
;ariel_cuppy;55:LAST16;5;2;
;ariel_cuppy;56:LAST16;5;3;
;ariel_cuppy;57:QUARTER;1;3;
;ariel_cuppy;58:QUARTER;2;5;
;ariel_cuppy;59:QUARTER;0;3;
;ariel_cuppy;60:QUARTER;2;3;
;ariel_cuppy;61:SEMI;4;2;
;ariel_cuppy;62:SEMI;0;1;
;ariel_cuppy;63:THIRD;0;3;
;ariel_cuppy;64:FINAL;0;5;
;pp;49:LAST16;1;0;
;pp;50:LAST16;4;4;
;pp;51:LAST16;3;3;
;pp;52:LAST16;4;1;
;pp;53:LAST16;1;3;
;pp;54:LAST16;5;5;
;pp;55:LAST16;2;1;
;pp;56:LAST16;1;0;
;pp;57:QUARTER;4;1;
;pp;58:QUARTER;5;1;
;pp;59:QUARTER;3;5;
;pp;60:QUARTER;4;4;
;pp;61:SEMI;3;0;
;pp;62:SEMI;5;4;
;pp;63:THIRD;5;4;
;pp;64:FINAL;2;2;
