$comp=ec2004

UPDATE Player;uid[unique=true];competitions(code)[mode=append]
;ppetersonson_cuppy;$comp
;demo_cuppy;$comp
;hweaving_cuppy;$comp
;sbrueck_cuppy;$comp
;hpneumann_cuppy;$comp
;ahertz_cuppy;$comp
;abrode_cuppy;$comp
;hschweiger_cuppy;$comp
;dkaufmann_cuppy;$comp
;kvitali_cuppy;$comp
;bpoweronoff_cuppy;$comp
;tbullet_cuppy;$comp
;hjaehnig_cuppy;$comp
;mdigit_cuppy;$comp
;ovh_cuppy;$comp
;nvp_cuppy;$comp
;ariel_cuppy;$comp
;sternthaler;$comp
;pp;$comp

INSERT_UPDATE MatchBet;player(uid)[unique=true];match(id,group(code,competition(code[default=ec2004])))[unique=true];guestGoals;homeGoals
;abrode_cuppy;28:QUARTER;4;1;
;abrode_cuppy;29:SEMI;1;4;
;abrode_cuppy;30:SEMI;1;5;
;abrode_cuppy;31:FINAL;4;3;
;hschweiger_cuppy;25:QUARTER;3;4;
;hschweiger_cuppy;26:QUARTER;0;5;
;hschweiger_cuppy;27:QUARTER;0;5;
;hschweiger_cuppy;28:QUARTER;4;4;
;hschweiger_cuppy;29:SEMI;2;4;
;hschweiger_cuppy;30:SEMI;3;4;
;hschweiger_cuppy;31:FINAL;4;2;
;dkaufmann_cuppy;25:QUARTER;4;1;
;dkaufmann_cuppy;26:QUARTER;2;1;
;dkaufmann_cuppy;27:QUARTER;5;5;
;dkaufmann_cuppy;28:QUARTER;3;3;
;dkaufmann_cuppy;29:SEMI;1;1;
;dkaufmann_cuppy;30:SEMI;1;1;
;dkaufmann_cuppy;31:FINAL;4;1;
;kvitali_cuppy;25:QUARTER;5;5;
;kvitali_cuppy;26:QUARTER;5;2;
;kvitali_cuppy;27:QUARTER;3;4;
;kvitali_cuppy;28:QUARTER;0;3;
;kvitali_cuppy;29:SEMI;1;3;
;kvitali_cuppy;30:SEMI;1;0;
;kvitali_cuppy;31:FINAL;4;1;
;bpoweronoff_cuppy;25:QUARTER;4;3;
;bpoweronoff_cuppy;26:QUARTER;1;4;
;bpoweronoff_cuppy;27:QUARTER;1;5;
;bpoweronoff_cuppy;28:QUARTER;1;0;
;bpoweronoff_cuppy;29:SEMI;4;4;
;bpoweronoff_cuppy;30:SEMI;3;0;
;bpoweronoff_cuppy;31:FINAL;1;0;
;tbullet_cuppy;25:QUARTER;0;3;
;tbullet_cuppy;26:QUARTER;5;4;
;tbullet_cuppy;27:QUARTER;0;3;
;tbullet_cuppy;28:QUARTER;5;2;
;tbullet_cuppy;29:SEMI;0;4;
;tbullet_cuppy;30:SEMI;3;0;
;tbullet_cuppy;31:FINAL;3;2;
;hjaehnig_cuppy;25:QUARTER;1;3;
;hjaehnig_cuppy;26:QUARTER;5;4;
;hjaehnig_cuppy;27:QUARTER;4;3;
;hjaehnig_cuppy;28:QUARTER;5;5;
;hjaehnig_cuppy;29:SEMI;2;2;
;hjaehnig_cuppy;30:SEMI;2;4;
;hjaehnig_cuppy;31:FINAL;0;3;
;mdigit_cuppy;25:QUARTER;4;4;
;mdigit_cuppy;27:QUARTER;0;5;
;mdigit_cuppy;28:QUARTER;3;2;
;mdigit_cuppy;29:SEMI;3;0;
;mdigit_cuppy;30:SEMI;0;1;
;mdigit_cuppy;31:FINAL;0;3;
;ovh_cuppy;25:QUARTER;4;0;
;ovh_cuppy;26:QUARTER;2;2;
;ovh_cuppy;27:QUARTER;0;1;
;ovh_cuppy;28:QUARTER;4;4;
;ovh_cuppy;29:SEMI;5;1;
;ovh_cuppy;30:SEMI;2;1;
;ovh_cuppy;31:FINAL;2;2;
;nvp_cuppy;25:QUARTER;3;4;
;nvp_cuppy;26:QUARTER;2;3;
;nvp_cuppy;27:QUARTER;1;2;
;nvp_cuppy;29:SEMI;2;0;
;nvp_cuppy;30:SEMI;5;5;
;nvp_cuppy;31:FINAL;0;2;
;ariel_cuppy;25:QUARTER;3;3;
;ariel_cuppy;26:QUARTER;0;5;
;ariel_cuppy;28:QUARTER;0;0;
;ariel_cuppy;29:SEMI;4;5;
;ariel_cuppy;30:SEMI;2;0;
;ariel_cuppy;31:FINAL;5;2;
;pp;25:QUARTER;1;5;
;pp;26:QUARTER;1;1;
;pp;27:QUARTER;1;2;
;pp;28:QUARTER;2;1;
;pp;29:SEMI;3;0;
;pp;30:SEMI;3;5;
;pp;31:FINAL;1;0;
