"Elnumber";"ProductGroupID";"DescShort";"Grouping";"SupplierNo";"SequenceNo";"HeaderText";"FooterText";"Picture"
"1410717";"63801-X";"Plus BRYTER INNFELT 2       SO";"Brytere";"938211";"20000";"";"";""
"1410718";"63801-X";"Plus BRYTER INNFELT 2-1     SO";"Brytere";"938211";"21000";"";"";"hlr-system/Print/GRUPPE14/1410718.eps"
"1410719";"63801-X";"Plus BRYTER INNFELT 1+1+1   SO";"Brytere";"938211";"22000";"";"";""
"1410720";"63801-X";"Plus BRYTER INNFELT 5       SO";"Brytere";"938211";"23000";"";"";""
"1410721";"63801-X";"Plus BRYTER INNFELT 6       SO";"Brytere";"938211";"24000";"";"";""
"1410722";"63801-X";"Plus BRYTER INNFELT 6-6      SO";"Brytere";"938211";"25000";"";"";""
"1410723";"63801-X";"Plus BRYTER INNFELT 7      SO";"Brytere";"938211";"26000";"";"";""
"1427400";"63801-X";"Plus SENTRALPLATE TETT      PH";" Sentralplater/Rammer";"938211";"28000";"";"";"hlr-system/Print/GRUPPE14/1427400.eps"
"1427401";"63801-X";"Plus SENTRALPLATE TETT     ALU";" Sentralplater/Rammer";"938211";"29000";"";"";"hlr-system/Print/GRUPPE14/1427401.eps"
"1427402";"63801-X";"Plus SENTRALPLATE TETT      SO";" Sentralplater/Rammer";"938211";"30000";"";"";""
"1427403";"63801-X";"Plus RAMME 1-HULL            PH";" Sentralplater/Rammer";"938211";"31000";"";"";"hlr-system/Print/GRUPPE14/1427403.eps"
"1427404";"63801-X";"Plus RAMME 1-HULL            ALU";" Sentralplater/Rammer";"938211";"32000";"";"";""
"1427405";"63801-X";"Plus RAMME 1-HULL            SO";" Sentralplater/Rammer";"938211";"33000";"";"";""
"1427406";"63801-X";"Plus RAMME 2-HULL           PH";" Sentralplater/Rammer";"938211";"34000";"";"";""
"1427407";"63801-X";"Plus RAMME 2-HULL           ALU";" Sentralplater/Rammer";"938211";"35000";"";"";""
"1427408";"63801-X";"Plus RAMME 2-HULL           SO";" Sentralplater/Rammer";"938211";"36000";"";"";""
"1427409";"63801-X";"Plus RAMME 3-HULL           PH";" Sentralplater/Rammer";"938211";"37000";"";"";""
"1427410";"63801-X";"Plus RAMME 3-HULL          ALU";" Sentralplater/Rammer";"938211";"38000";"";"";""
"1427411";"63801-X";"Plus RAMME 3-HULL           SO";" Sentralplater/Rammer";"938211";"39000";"";"";""
"1427412";"63801-X";"Plus RAMME 4-HULL           PH";" Sentralplater/Rammer";"938211";"40000";"";"";""
"1427413";"63801-X";"Plus RAMME 4-HULL          ALU";" Sentralplater/Rammer";"938211";"41000";"";"";""
"1427414";"63801-X";"Plus RAMME 4-HULL           SO";" Sentralplater/Rammer";"938211";"42000";"";"";""
"1427485";"63801-X";"Plus RAMME 5-HULL         PH";" Sentralplater/Rammer";"938211";"43000";"";"";""
"1427486";"63801-X";"Plus RAMME 5-HULL          ALU";" Sentralplater/Rammer";"938211";"44000";"";"";""
"1427487";"63801-X";"Plus RAMME 5-HULL           SO";" Sentralplater/Rammer";"938211";"45000";"";"";""
"1427415";"63801-X";"Plus RAMME DEKOR 86 1-HULL GRØ";"Dekorrammer";"938211";"47000";"";"";""
"1427416";"63801-X";"Plus RAMME DEKOR 86 1-HULL ORA";"Dekorrammer";"938211";"48000";"";"";""
"1427417";"63801-X";"Plus RAMME DEKOR 86 1-HULL BLÅ";"Dekorrammer";"938211";"49000";"";"";""
"1427418";"63801-X";"Plus RAMME DEKOR 86 1-HULL ALU";"Dekorrammer";"938211";"50000";"";"";"hlr-system/Print/GRUPPE14/1427418.eps"
"1427419";"63801-X";"Plus RAMME DEKOR 86 2-HULL GRØ";"Dekorrammer";"938211";"51000";"";"";""
"1427420";"63801-X";"Plus RAMME DEKOR 86 2-HULL ORA";"Dekorrammer";"938211";"52000";"";"";""
"1427421";"63801-X";"Plus RAMME DEKOR 86 2-HULL BLÅ";"Dekorrammer";"938211";"53000";"";"";""
"1427422";"63801-X";"Plus RAMME DEKOR 86 2-HULL ALU";"Dekorrammer";"938211";"54000";"";"";""
"1427423";"63801-X";"Plus RAMME DEKOR 86 3-HULL GRØ";"Dekorrammer";"938211";"55000";"";"";""
"1427424";"63801-X";"Plus RAMME DEKOR 86 3-HULL ORA";"Dekorrammer";"938211";"56000";"";"";""
"1427425";"63801-X";"Plus RAMME DEKOR 86 3-HULL BLÅ";"Dekorrammer";"938211";"57000";"";"";""
"1427426";"63801-X";"Plus RAMME DEKOR 86 3-HULL ALU";"Dekorrammer";"938211";"58000";"";"";""
"1427427";"63801-X";"Plus RAMME DEKOR 86 4-HULL GRØ";"Dekorrammer";"938211";"59000";"";"";""
"1427428";"63801-X";"Plus RAMME DEKOR 86 4-HULL ORA";"Dekorrammer";"938211";"60000";"";"";""
"1427429";"63801-X";"Plus RAMME DEKOR 86 4-HULL BLÅ";"Dekorrammer";"938211";"61000";"";"";""
"1427430";"63801-X";"Plus RAMME DEKOR 86 4-HULL ALU";"Dekorrammer";"938211";"62000";"";"";""
"1427431";"63801-X";"Plus RAMME DEKOR 1 1/2    GRØ";"Dekorrammer";"938211";"63000";"";"";"hlr-system/Print/GRUPPE14/1427431.eps"
"1427432";"63801-X";"Plus RAMME DEKOR 1 1/2    ORA";"Dekorrammer";"938211";"64000";"";"";""
"1427433";"63801-X";"Plus RAMME DEKOR 1 1/2    BLÅ";"Dekorrammer";"938211";"65000";"";"";""
"1427434";"63801-X";"Plus RAMME DEKOR 1 1/2    ALU";"Dekorrammer";"938211";"66000";"";"";""
"1427435";"63801-X";"Plus ramme m/lys/trafo 86 1-hull";"Lysende dekorrammer";"938211";"68000";"";"";""
"1427436";"63801-X";"Plus ramme m/lys/trafo 86 2-hull";"Lysende dekorrammer";"938211";"69000";"";"";""
"1427437";"63801-X";"Plus ramme m/lys/trafo 86 1,5-hull";"Lysende dekorrammer";"938211";"70000";"";"";""
"1427456";"63801-X";"Plus ramme m/lys 86 1-hull";"Lysende dekorrammer";"938211";"71000";"";"";""
"1427457";"63801-X";"Plus ramme m/lys 86 2-hull";"Lysende dekorrammer";"938211";"72000";"";"";""
"1427458";"63801-X";"Plus ramme m/lys 86 1,5-hull";"Lysende dekorrammer";"938211";"73000";"";"";""
"1427453";"63801-X";"Plus forhøyningskappe 1,5 PH                     .";"Kapper";"938211";"75000";"";"";""
"1427454";"63801-X";"Plus forhøyningskappe 1,5 ALU";"Kapper";"938211";"76000";"";"";""
"1427455";"63801-X";"Plus forhøyningskappe 1,5 SO";"Kapper";"938211";"77000";"";"";""
"1427459";"63801-X";"Plus ramme dekor 86 1-hull PH";"Kapper";"938211";"78000";"";"";""
"1427460";"63801-X";"Plus ramme dekor 86 2-hull PH";"Kapper";"938211";"79000";"";"";""
"1427461";"63801-X";"Plus ramme dekor 86 3-hull PH";"Kapper";"938211";"80000";"";"";""
"1427462";"63801-X";"Plus ramme dekor 86 4-hull PH";"Kapper";"938211";"81000";"";"";""
"1427463";"63801-X";"Plus ramme dekor 86 1,5-hull PH";"Kapper";"938211";"82000";"";"";""
"1427464";"63801-X";"Plus Option Stål Sirkulær 1Hull";"Plus rammer av ekte materialer";"938211";"84000";"";"";""
"1427465";"63801-X";"Plus Option Stål Liniær 1Hull";"Plus rammer av ekte materialer";"938211";"85000";"";"";""
"1427466";"63801-X";"Plus Option Stål Liniær 2Hull";"Plus rammer av ekte materialer";"938211";"86000";"";"";""
"1427467";"63801-X";"Plus Option Stål Liniær 3Hull";"Plus rammer av ekte materialer";"938211";"87000";"";"";""
"1427468";"63801-X";"Plus Option Stål Liniær 4Hull";"Plus rammer av ekte materialer";"938211";"88000";"";"";""
"1427469";"63801-X";"Plus Option Stål Liniær 5Hull";"Plus rammer av ekte materialer";"938211";"89000";"";"";""
"1427470";"63801-X";"Plus Option Hull  Hvit frostet 1Hull";"Plus rammer av ekte materialer";"938211";"90000";"";"";""
"1427471";"63801-X";"Plus Option Hull Hvit frostet 2Hull";"Plus rammer av ekte materialer";"938211";"91000";"";"";""
"1427472";"63801-X";"Plus Option Hull  Hvit frostet 3Hull";"Plus rammer av ekte materialer";"938211";"92000";"";"";""
"1427473";"63801-X";"Plus Option Hull  Hvit frostet 4Hull";"Plus rammer av ekte materialer";"938211";"93000";"";"";""
"1427474";"63801-X";"Plus Option Hull Hvit frostet 5Hull";"Plus rammer av ekte materialer";"938211";"94000";"";"";""
"1427475";"63801-X";"Plus Option Sotet Sort 1Hull";"Plus rammer av ekte materialer";"938211";"95000";"";"";""
"1427476";"63801-X";"Plus Option Sotet Sort 2Hull";"Plus rammer av ekte materialer";"938211";"96000";"";"";""
"1427477";"63801-X";"Plus Option Sotet Sort 3Hull";"Plus rammer av ekte materialer";"938211";"97000";"";"";""
"1427478";"63801-X";"Plus Option Sotet Sort 4Hull";"Plus rammer av ekte materialer";"938211";"98000";"";"";""
"1427479";"63801-X";"Plus Option Sotet Sort 5Hull";"Plus rammer av ekte materialer";"938211";"99000";"";"";""
"1427480";"63801-X";"Plus Option Skifer 1Hull";"Plus rammer av ekte materialer";"938211";"100000";"";"";""
"1427481";"63801-X";"Plus Option Skifer 2Hull";"Plus rammer av ekte materialer";"938211";"101000";"";"";""
"1427482";"63801-X";"Plus Option Skifer 3Hull";"Plus rammer av ekte materialer";"938211";"102000";"";"";""
"1427483";"63801-X";"Plus Option Skifer 4Hull";"Plus rammer av ekte materialer";"938211";"103000";"";"";""
"1427484";"63801-X";"Plus Option Skifer 5Hull";"Plus rammer av ekte materialer";"938211";"104000";"";"";""
"1427438";"63801-X";"Plus OVERGANGSRAMME 1 1/2  PH";"Overgangsrammer/ Vippestykker";"938211";"106000";"";"";""
"1427439";"63801-X";"Plus OVERGANGSRAMME 1 1/2 ALU";"Overgangsrammer/ Vippestykker";"938211";"107000";"";"";""
"1427440";"63801-X";"Plus OVERGANGSRAMME 1 1/2  SO";"Overgangsrammer/ Vippestykker";"938211";"108000";"";"";""
"1427441";"63801-X";"Plus VIPPE M/LYS            PH";"Overgangsrammer/ Vippestykker";"938211";"109000";"";"";"hlr-system/Print/GRUPPE14/1427441.eps"
"1427442";"63801-X";"Plus VIPPE M/LYS          ALU";"Overgangsrammer/ Vippestykker";"938211";"110000";"";"";""
"1427443";"63801-X";"Plus VIPPE M/LYS            SO";"Overgangsrammer/ Vippestykker";"938211";"111000";"";"";""
"1427444";"63801-X";"Plus VIPPE M/LYS 2P         PH";"Overgangsrammer/ Vippestykker";"938211";"112000";"";"";""
"1427445";"63801-X";"Plus VIPPE M/LYS 2P       ALU";"Overgangsrammer/ Vippestykker";"938211";"113000";"";"";""
"1427446";"63801-X";"Plus VIPPE M/LYS 2P         SO";"Overgangsrammer/ Vippestykker";"938211";"114000";"";"";""
"1427447";"63801-X";"Plus VIPPE M/NØKKELSYMBOL   PH";"Overgangsrammer/ Vippestykker";"938211";"115000";"";"";"hlr-system/Print/GRUPPE14/1427447.eps"
"1427448";"63801-X";"Plus VIPPE M/NØKKELSYMBOL  ALU";"Overgangsrammer/ Vippestykker";"938211";"116000";"";"";""
"1427449";"63801-X";"Plus VIPPE M/NØKKELSYMBOL   SO";"Overgangsrammer/ Vippestykker";"938211";"117000";"";"";""
"1427450";"63801-X";"Plus VIPPE M/KLOKKESYMBOL   PH";"Overgangsrammer/ Vippestykker";"938211";"118000";"";"";""
"1427451";"63801-X";"Plus VIPPE M/KLOKKESYMBOL  ALU";"Overgangsrammer/ Vippestykker";"938211";"119000";"";"";""
"1427452";"63801-X";"Plus VIPPE M/KLOKKESYMBOL   SO";"Overgangsrammer/ Vippestykker";"938211";"120000";"";"";"hlr-system/Print/GRUPPE14/1427452.eps"
"1410750";"63802-X";"Plus Dimmer 315GLE           PH";"Dimmere";"938211";"3000";"";"";"hlr-system/Print/GRUPPE14/1410750.eps"
"1410751";"63802-X";"Plus Dimmer 400GL            PH";"Dimmere";"938211";"4000";"";"";""
"1410752";"63802-X";"Plus Dimmer 630GLE           PH";"Dimmere";"938211";"5000";"";"";""
"1410753";"63802-X";"Plus Dimmer 1000 LRI         PH";"Dimmere";"938211";"6000";"";"";""
"1410754";"63802-X";"Plus Dimmer 1000GLE          PH";"Dimmere";"938211";"7000";"";"";""
"1410755";"63802-X";"Plus Dimmer 1-10 V           PH";"Dimmere";"938211";"8000";"";"";""
"1410756";"63802-X";"Plus Dimmer 315GLE          ALU";"Dimmere";"938211";"9000";"";"";"hlr-system/Print/GRUPPE14/1410756.eps"
"1410757";"63802-X";"Plus Dimmer 400GL           ALU";"Dimmere";"938211";"10000";"";"";""
"1410758";"63802-X";"Plus Dimmer 630GLE          ALU";"Dimmere";"938211";"11000";"";"";""
"1410759";"63802-X";"Plus Dimmer 1000 LRI        ALU";"Dimmere";"938211";"12000";"";"";""
"1410760";"63802-X";"Plus Dimmer 1000GLE         ALU";"Dimmere";"938211";"13000";"";"";""
"1410761";"63802-X";"Plus Dimmer 1-10 V          ALU";"Dimmere";"938211";"14000";"";"";""
"1410762";"63802-X";"Plus Dimmer 315GLE           SO";"Dimmere";"938211";"15000";"";"";"hlr-system/Print/GRUPPE14/1410762.eps"
"1410763";"63802-X";"Plus Dimmer 400GL            SO";"Dimmere";"938211";"16000";"";"";""
"1410764";"63802-X";"Plus Dimmer 630GLE           SO";"Dimmere";"938211";"17000";"";"";""
"1410765";"63802-X";"Plus Dimmer 1000 LRI         SO";"Dimmere";"938211";"18000";"";"";""
"1410766";"63802-X";"Plus Dimmer 1000GLE          SO";"Dimmere";"938211";"19000";"";"";""
"1410767";"63802-X";"Plus Dimmer 1-10 V           SO";"Dimmere";"938211";"20000";"";"";""
"1410769";"63802-X";"Plus Dimmer 450GLE/I    PH";"Dimmere";"938211";"21000";"";"";""
"1410774";"63802-X";"Plus Dimmer 450GLE/I    ALU";"Dimmere";"938211";"22000";"";"";""
"1410778";"63802-X";"Plus Dimmer 450GLE/I    SO";"Dimmere";"938211";"23000";"";"";""
"1410771";"63802-X";"Plus Dimmer 600GLE/I   PH";"Dimmere";"938211";"24000";"";"";""
"1410775";"63802-X";"Plus Dimmer 600GLE/I   ALU";"Dimmere";"938211";"25000";"";"";""
"1410779";"63802-X";"Plus Dimmer 600GLE/I   SO";"Dimmere";"938211";"26000";"";"";""
"1410772";"63802-X";"Plus Dimmer 600Universal  PH";"Dimmere";"938211";"27000";"";"";""
"1410776";"63802-X";"Plus Dimmer 600Universal  ALU";"Dimmere";"938211";"28000";"";"";""
"1410780";"63802-X";"Plus Dimmer 600Universal  SO";"Dimmere";"938211";"29000";"";"";""
"1410726";"63802-X";"Plus Dimmer 315GLE 2POL PH";"Dimmere 2-polet";"938211";"31000";"";"";""
"1410727";"63802-X";"Plus Dimmer 315GLE 2POL ALU";"Dimmere 2-polet";"938211";"32000";"";"";""
"1410728";"63802-X";"Plus Dimmer 315GLE 2POL SO";"Dimmere 2-polet";"938211";"33000";"";"";""
"1410729";"63802-X";"Plus Varmeregulator 16A  PH";"Varmeregulator";"938211";"35000";"";"";""
"1410730";"63802-X";"Plus Varmeregulator 16A  ALU";"Varmeregulator";"938211";"36000";"";"";""
"1410731";"63802-X";"Plus Varmeregulator 16A  SO";"Varmeregulator";"938211";"37000";"";"";""
"1410768";"63802-X";"Plus Hastighetsregulator 400HR PH";"Hastighetsregulatorer";"938211";"39000";"";"";""
"1410773";"63802-X";"Plus Hastighetsregulator 400HR ALU";"Hastighetsregulatorer";"938211";"40000";"";"";""
"1410777";"63802-X";"Plus Hastighetsregulator 400HR SO";"Hastighetsregulatorer";"938211";"41000";"";"";""
"1410793";"63802-X";"Plus Bevegelsesføler BF16/PIR 300GL PH";"Bevegelsesregulatorer";"938211";"43000";"";"";""
"1410794";"63802-X";"Plus Bevegelsesføler BF16/PIR 300GL ALU";"Bevegelsesregulatorer";"938211";"44000";"";"";""
"1410795";"63802-X";"Plus Bevegelsesføler BF16/PIR 300GL SO";"Bevegelsesregulatorer";"938211";"45000";"";"";""
"1410796";"63802-X";"Plus Bevegelsesføler BF16/PIR 500Universal PH";"Bevegelsesregulatorer";"938211";"46000";"";"";""
"1410797";"63802-X";"Plus Bevegelsesføler BF16/PIR 500Universal ALU";"Bevegelsesregulatorer";"938211";"47000";"";"";""
"1410798";"63802-X";"Plus Bevegelsesføler BF/PIR 500Universal SO";"Bevegelsesregulatorer";"938211";"48000";"";"";""
"1410799";"63802-X";"Plus Bevegelsesføler BF16/PIR 2300 PH";"Bevegelsesregulatorer";"938211";"49000";"";"";""
"1410781";"63802-X";"Plus Bevegelsesføler BF16/PIR 2300  ALU";"Bevegelsesregulatorer";"938211";"50000";"";"";""
"1410782";"63802-X";"Plus Bevegelsesføler BF16/PIR 2300 SO";"Bevegelsesregulatorer";"938211";"51000";"";"";""
"1427488";"63802-X";"Plus Påveggkappe 35mm enkel PH";"Påveggskapper";"";"53000";"";"";""
"1427489";"63802-X";"Plus Påveggkappe 35m enkel Alu";"Påveggskapper";"";"54000";"";"";""
"1427490";"63802-X";"Plus Påveggkappe 35m enkel So";"Påveggskapper";"";"55000";"";"";""
"1410870";"59457-X";"Markeringslys RS16/ML Rød Innfelt";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1410870.eps"
"1410871";"59457-X";"Markeringslys RS16/ML Grønn Innfelt";"";"938211";"3000";"";"";""
"1410872";"59457-X";"Markeringslys RS16/ML Gul Innfelt";"";"938211";"4000";"";"";""
"1410875";"59457-X";"RS16/ nattlys  I  PH";"";"938211";"5000";"";"";""
"1410881";"59457-X";"Markeringslys RS16/ML P RØD Påvegg";"";"938211";"6000";"";"";""
"1410882";"59457-X";"Markeringslys RS16/ML P GRØNN Påvegg";"";"938211";"7000";"";"";""
"1410883";"59457-X";"Markeringslys RS16/ML P GUL Påvegg";"";"938211";"8000";"";"";""
"1410914";"17616-X";"Fjær T 47";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1410914.eps"
"1411652";"17629-X";"Overgangsramme L 383";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1411652.eps"
"1411700";"17643-X";"RS Overgangsramme 1,5  PH";"";"938211";"2000";"";"";""
"1411701";"17643-X";"Kombinsajonsramme L 571";"";"938211";"3000";"";"";""
"1411702";"17643-X";"Kombinsajonsramme L 572";"";"938211";"4000";"";"";""
"1411703";"17643-X";"Kombinsajonsramme L 573";"";"938211";"5000";"";"";""
"1411704";"17643-X";"Kombinsajonsramme L 574";"";"938211";"6000";"";"";""
"1411705";"17643-X";"Kombinsajonsramme L 575";"";"938211";"7000";"";"";""
"1411741";"17643-X";"Kombinsajonsramme L 989";"";"938211";"8000";"";"";""
"1411742";"17643-X";"Kombinsajonsramme L 990";"";"938211";"9000";"";"";""
"1411761";"17643-X";"Tabberamme 90mm L 3021";"";"938211";"10000";"";"";""
"1411762";"17643-X";"Tabberamme 90mm L 3027";"";"938211";"11000";"";"";""
"1411706";"17643-X";"Tabberamme 90mm  L 3378";"";"938211";"12000";"";"";""
"1411707";"17643-X";"Tabberamme 90mm  L 3382";"";"938211";"13000";"";"";""
"1411740";"17643-X";"Kombinasjonsplate L3105 m/merkevindu";"";"938211";"14000";"";"";""
"1411743";"17643-X";"Kombinasjonsplate L3010 m/merkevindu";"";"938211";"15000";"";"";""
"6941551";"17643-X";"Sentralplate tett L433/1";"";"938211";"16000";"";"";"hlr-system/Print/GRUPPE14/6941551.eps"
"1411883";"17651-X";"RS16/1P";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1411883.eps"
"1411884";"17651-X";"RS16/2P";"";"938211";"3000";"";"";""
"1411800";"17651-X";"RS16/3P 10A";"";"938211";"4000";"";"";""
"1411885";"17651-X";"RS16/2 + 1P 10A";"";"938211";"5000";"";"";""
"1411886";"17651-X";"RS16/1 + 1 + 1P 10A";"";"938211";"6000";"";"";""
"1411887";"17651-X";"RS16/5P";"";"938211";"7000";"";"";""
"1411888";"17651-X";"RS16/6P";"";"938211";"8000";"";"";""
"1411889";"17651-X";"RS16/7P";"";"938211";"9000";"";"";""
"1411890";"17651-X";"RS16/6 + 6P";"";"938211";"10000";"";"";""
"1411891";"17651-X";"RS16/6.2P";"";"938211";"11000";"";"";""
"1411894";"17651-X";"RS16/7 Lys P";"";"938211";"12000";"";"";""
"1411895";"17651-X";"RS16/2 Av-På Lys P";"";"938211";"13000";"";"";""
"1411896";"17651-X";"RS16/1P";"";"938211";"14000";"";"";"hlr-system/Print/GRUPPE14/1411896.eps"
"1411953";"17678-X";"H16/1 P";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1411953.eps"
"1411955";"17678-X";"H16/2 P";"";"938211";"3000";"";"";""
"1411957";"17678-X";"H16/2-1 P 10A";"";"938211";"4000";"";"";""
"1411959";"17678-X";"H16/5 P";"";"938211";"5000";"";"";""
"1411961";"17678-X";"H16/6 P";"";"938211";"6000";"";"";""
"1411963";"17678-X";"H16/6-6 P";"";"938211";"7000";"";"";""
"1411965";"17678-X";"H16/6-2 P";"";"938211";"8000";"";"";""
"1411967";"17678-X";"H16/7 P";"";"938211";"9000";"";"";""
"1411969";"17678-X";"H16/1+1+1 P 10A";"";"938211";"10000";"";"";""
"1411975";"17690-X";"H16/1 I";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1411975.eps"
"1411977";"17690-X";"H16/2 I";"";"938211";"3000";"";"";""
"1411979";"17690-X";"H16/2-1 I 10A";"";"938211";"4000";"";"";""
"1411981";"17690-X";"H16/5 I";"";"938211";"5000";"";"";""
"1411983";"17690-X";"H16/6 I";"";"938211";"6000";"";"";""
"1411985";"17690-X";"H16/6-6 I";"";"938211";"7000";"";"";""
"1411987";"17690-X";"H16/6-2 I";"";"938211";"8000";"";"";""
"1411989";"17690-X";"H16/7 I";"";"938211";"9000";"";"";""
"1411991";"17690-X";"H16/1 + 1 + 1 I 10A";"";"938211";"10000";"";"";""
"1478253";"17702-X";"Nøkkelbryter RS 16/2 2-pol I";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1478253.eps"
"1478259";"17702-X";"Nødstoppbryter RS16 2-pol I";"";"938211";"3000";"";"";""
"1412038";"17705-X";"L 602/3";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1412038.eps"
"1412057";"17705-X";"L 608/3 m/lys";"";"938211";"3000";"";"";"hlr-system/Print/GRUPPE14/1412057.eps"
"1412032";"17705-X";"L 858";"";"938211";"4000";"";"";""
"1412040";"17705-X";"L 602/5";"";"938211";"5000";"";"";""
"1412059";"17705-X";"L 608/5 m/lys";"";"938211";"6000";"";"";""
"1412039";"17705-X";"L 602/4";"";"938211";"7000";"";"";""
"1412058";"17705-X";"L 608/4 m/lys";"";"938211";"8000";"";"";""
"1412074";"17705-X";"L 608/S740 m/lysenhet";"";"938211";"9000";"";"";""
"1412075";"17705-X";"L 608-2/S740 m/lysenhet";"";"938211";"10000";"";"";""
"1412076";"17705-X";"L608/S1081 Vipp + lys 12V";"";"938211";"11000";"";"";""
"1412302";"63310-X";"Senso Hvit Bryter Innf. 2-Pol";"Senso Brytere";"975265";"3000";"";"";"hlr-system/Print/GRUPPE14/1412302.eps"
"1412308";"63310-X";"Senso Hvit Bryter Innf. 3-Pol";"Senso Brytere";"975265";"4000";"";"";""
"1412305";"63310-X";"Senso Hvit Bryter Innf. 5 Kronevender";"Senso Brytere";"975265";"5000";"";"";""
